,Date,HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,FTR,PRED,TARGET
0,18/08/12,Arsenal,Sunderland,1.4,4.5,8.5,1.35,4.6,9,1.35,4.5,7.3,1.44,4.76,8.78,1.44,4,8,1.44,4.75,8.5,0,1,1
1,18/08/12,Fulham,Norwich,1.8,3.6,4.5,1.8,3.5,4.4,1.8,3.4,4,1.82,3.81,4.8,1.85,3.3,4.5,1.83,3.75,4.75,1,1,0
2,18/08/12,Newcastle,Tottenham,2.5,3.4,2.75,2.6,3.3,2.75,2.4,3.2,2.7,2.65,3.47,2.82,2.7,3,2.8,2.62,3.4,2.75,1,1,0
3,18/08/12,QPR,Swansea,2,3.4,3.8,2,3.4,3.6,2.1,3.3,3.1,2.05,3.53,4.01,2,3.3,3.8,2,3.5,4,0,1,1
4,18/08/12,Reading,Stoke,2.38,3.25,3.1,2.4,3.2,3.1,2.4,3.2,2.7,2.4,3.37,3.26,2.4,3.3,2.9,2.4,3.3,3.25,0,1,1
5,18/08/12,West Brom,Liverpool,4.2,3.5,1.91,4.1,3.5,1.85,3.3,3.3,2,4.39,3.59,1.94,3.8,3.3,2,4.33,3.6,1.95,1,0,1
6,18/08/12,West Ham,Aston Villa,2.2,3.3,3.4,2.25,3.3,3.3,2.15,3.3,3,2.26,3.49,3.43,2.3,3.2,3.2,2.25,3.4,3.4,1,1,0
7,19/08/12,Man City,Southampton,1.17,7,17,1.18,6.25,16,1.17,5.8,13,1.2,7.5,19.75,1.2,6,15,1.2,7,19,1,1,0
8,19/08/12,Wigan,Chelsea,6,3.75,1.62,6,3.9,1.55,5.5,3.9,1.5,6.05,4.02,1.65,5.5,3.6,1.67,6.5,3.8,1.65,0,0,0
9,20/08/12,Everton,Man United,4.33,3.6,1.83,4.6,3.5,1.83,3.8,3.4,1.85,4.27,3.77,1.92,4.33,3.3,1.91,4.3,3.7,1.87,1,0,1
10,22/08/12,Chelsea,Reading,1.25,5.5,13,1.25,5.25,12.5,1.25,5,10,1.27,6.15,13.8,1.29,5.5,10,1.25,6,13,1,1,0
11,25/08/12,Aston Villa,Everton,2.9,3.4,2.4,2.95,3.3,2.45,2.5,3.2,2.6,3.14,3.36,2.47,2.88,3.2,2.5,3.1,3.3,2.45,0,0,0
12,25/08/12,Chelsea,Newcastle,1.5,4.33,6.5,1.5,4.33,6.5,1.53,3.8,5.5,1.51,4.5,7.27,1.5,4.2,6.5,1.5,4.4,7,1,1,0
13,25/08/12,Man United,Fulham,1.29,5.5,11,1.28,5.25,10,1.25,5,10,1.32,5.6,11.85,1.35,4.8,9,1.3,5.5,11.5,1,1,0
14,25/08/12,Norwich,QPR,2.25,3.4,3.2,2.25,3.3,3.1,2.1,3.2,3.2,2.34,3.5,3.25,2.38,3.4,2.9,2.3,3.4,3.2,0,1,1
15,25/08/12,Southampton,Wigan,2.1,3.4,3.5,2.05,3.4,3.5,2.1,3.2,3.2,2.2,3.51,3.56,2.15,3.5,3.25,2.15,3.5,3.6,0,1,1
16,25/08/12,Swansea,West Ham,2.1,3.3,3.6,2,3.3,3.75,2.1,3.2,3.2,2.13,3.43,3.85,2.1,3.4,3.5,2.1,3.4,3.8,1,1,0
17,25/08/12,Tottenham,West Brom,1.5,4.33,6.5,1.45,4.2,7,1.45,3.9,6.5,1.51,4.52,7.35,1.55,4,6,1.5,4.4,7,0,1,1
18,26/08/12,Liverpool,Man City,3.1,3.4,2.3,3,3.5,2.35,2.75,3.2,2.35,3.14,3.46,2.42,2.9,3.4,2.38,3.1,3.4,2.4,0,0,0
19,26/08/12,Stoke,Arsenal,3.5,3.4,2.1,3.7,3.3,2.1,3.2,3.2,2.1,3.57,3.46,2.21,3.3,3.3,2.2,3.6,3.4,2.2,0,0,0
20,1/9/2012,Man City,QPR,1.18,7,15,1.18,6.5,14.5,1.2,5.5,12,1.22,7.65,15,1.2,7,11,1.2,7.5,15,1,1,0
21,1/9/2012,Swansea,Sunderland,2.2,3.3,3.4,2.2,3.2,3.3,2.2,3.2,3,2.17,3.47,3.67,2.15,3.25,3.5,2.15,3.4,3.6,0,1,1
22,1/9/2012,Tottenham,Norwich,1.36,5,8.5,1.36,4.75,8,1.4,4.1,7,1.38,5.35,9,1.4,5,7,1.36,5.25,9,0,1,1
